,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_base_estimator__base_estimator__max_depth,param_base_estimator__base_estimator__max_features,param_base_estimator__n_estimators,param_n_estimators,params,split0_test_f1,split1_test_f1,split2_test_f1,split3_test_f1,split4_test_f1,mean_test_f1,std_test_f1,rank_test_f1,split0_test_auc,split1_test_auc,split2_test_auc,split3_test_auc,split4_test_auc,mean_test_auc,std_test_auc,rank_test_auc
20,240.18301186561584,4.17516584668899,27.530944108963013,1.3442144734626673,50,0.5,10,500,"{'base_estimator__base_estimator__max_depth': 50, 'base_estimator__base_estimator__max_features': 0.5, 'base_estimator__n_estimators': 10, 'n_estimators': 500}",0.11538461538461539,0.12244897959183673,0.23529411764705885,0.06451612903225805,0.07017543859649122,0.12156385605045203,0.06143085782908682,13,0.7922982653021344,0.8023466157479523,0.8913636389014511,0.832452584738902,0.8133710217755444,0.8263664252931969,0.03512307048647267,13
21,118.72438607215881,4.246551850174865,14.453885936737061,0.8186736993960131,50,0.5,25,250,"{'base_estimator__base_estimator__max_depth': 50, 'base_estimator__base_estimator__max_features': 0.5, 'base_estimator__n_estimators': 25, 'n_estimators': 250}",0.14285714285714285,0.16326530612244897,0.19607843137254904,0.06896551724137932,0.0967741935483871,0.13358811822838149,0.04561367151281309,1,0.7867360099157497,0.7937415205266068,0.9042901250076769,0.8369889285295546,0.8154369067560021,0.827438698147118,0.042269611581621055,1
22,142.01752700805665,2.491832643216179,16.784282970428468,1.1945064646003023,50,0.5,25,300,"{'base_estimator__base_estimator__max_depth': 50, 'base_estimator__base_estimator__max_features': 0.5, 'base_estimator__n_estimators': 25, 'n_estimators': 300}",0.14285714285714285,0.16326530612244897,0.19607843137254904,0.06666666666666667,0.06666666666666667,0.12710684273709486,0.052189302034054086,7,0.7885686928071732,0.7970272292291287,0.9004921584063336,0.83483939947183,0.8152303182579564,0.8272315596344845,0.039940313470278495,7
23,238.053147983551,2.566241672248913,28.76915364265442,1.4938334078263191,50,0.5,25,500,"{'base_estimator__base_estimator__max_depth': 50, 'base_estimator__base_estimator__max_features': 0.5, 'base_estimator__n_estimators': 25, 'n_estimators': 500}",0.11538461538461539,0.12244897959183673,0.23529411764705885,0.06451612903225805,0.07017543859649122,0.12156385605045203,0.06143085782908682,13,0.7922982653021344,0.8023466157479523,0.8913636389014511,0.832452584738902,0.8133710217755444,0.8263664252931969,0.03512307048647267,13
24,120.26315250396729,2.5379589083889056,13.607150506973266,0.15953664078535326,50,0.5,50,250,"{'base_estimator__base_estimator__max_depth': 50, 'base_estimator__base_estimator__max_features': 0.5, 'base_estimator__n_estimators': 50, 'n_estimators': 250}",0.14285714285714285,0.16326530612244897,0.19607843137254904,0.06896551724137932,0.0967741935483871,0.13358811822838149,0.04561367151281309,1,0.7867360099157497,0.7937415205266068,0.9042901250076769,0.8369889285295546,0.8154369067560021,0.827438698147118,0.042269611581621055,1
25,145.7534115791321,1.7016017109033084,17.91330280303955,0.7482819816351372,50,0.5,50,300,"{'base_estimator__base_estimator__max_depth': 50, 'base_estimator__base_estimator__max_features': 0.5, 'base_estimator__n_estimators': 50, 'n_estimators': 300}",0.14285714285714285,0.16326530612244897,0.19607843137254904,0.06666666666666667,0.06666666666666667,0.12710684273709486,0.052189302034054086,7,0.7885686928071732,0.7970272292291287,0.9004921584063336,0.83483939947183,0.8152303182579564,0.8272315596344845,0.039940313470278495,7
26,248.898180103302,5.641451305827973,26.82730417251587,1.8699920159454009,50,0.5,50,500,"{'base_estimator__base_estimator__max_depth': 50, 'base_estimator__base_estimator__max_features': 0.5, 'base_estimator__n_estimators': 50, 'n_estimators': 500}",0.11538461538461539,0.12244897959183673,0.23529411764705885,0.06451612903225805,0.07017543859649122,0.12156385605045203,0.06143085782908682,13,0.7922982653021344,0.8023466157479523,0.8913636389014511,0.832452584738902,0.8133710217755444,0.8263664252931969,0.03512307048647267,13
27,122.84337744712829,5.712091749955913,14.71876039505005,1.069274388919867,50,0.8,10,250,"{'base_estimator__base_estimator__max_depth': 50, 'base_estimator__base_estimator__max_features': 0.8, 'base_estimator__n_estimators': 10, 'n_estimators': 250}",0.10810810810810811,0.09836065573770493,0.23188405797101447,0.07792207792207792,0.038834951456310676,0.11102197023904321,0.06493537137875457,19,0.7821368552110726,0.7883537399014008,0.871783383302905,0.810133773288891,0.8122445561139029,0.8129304615636345,0.03169927370997702,19
28,147.2576735496521,2.8629061189337364,16.045292234420778,1.235546225904331,50,0.8,10,300,"{'base_estimator__base_estimator__max_depth': 50, 'base_estimator__base_estimator__max_features': 0.8, 'base_estimator__n_estimators': 10, 'n_estimators': 300}",0.11764705882352941,0.06779661016949154,0.22535211267605632,0.07058823529411765,0.058823529411764705,0.10804150927499193,0.06212705277118271,25,0.7806698714190801,0.7900649883590439,0.868099872144895,0.8092600036849069,0.8100977107761027,0.8116384892768057,0.03039865188241933,31
29,246.33816494941712,3.9302701494279964,28.207566452026366,1.3345694282210103,50,0.8,10,500,"{'base_estimator__base_estimator__max_depth': 50, 'base_estimator__base_estimator__max_features': 0.8, 'base_estimator__n_estimators': 10, 'n_estimators': 500}",0.1095890410958904,0.07272727272727272,0.23188405797101447,0.04819277108433735,0.06,0.10447862857570298,0.06695200446178964,31,0.7843170918267648,0.7909108420012394,0.8677969839594883,0.8079898274235242,0.8096105527638191,0.8121250595949672,0.029482578420741985,25
30,123.54760847091674,5.223436492872856,13.471692752838134,0.4166046166537511,50,0.8,25,250,"{'base_estimator__base_estimator__max_depth': 50, 'base_estimator__base_estimator__max_features': 0.8, 'base_estimator__n_estimators': 25, 'n_estimators': 250}",0.10810810810810811,0.09836065573770493,0.23188405797101447,0.07792207792207792,0.038834951456310676,0.11102197023904321,0.06493537137875457,19,0.7821368552110726,0.7883537399014008,0.871783383302905,0.810133773288891,0.8122445561139029,0.8129304615636345,0.03169927370997702,19
31,145.4891052722931,1.1993368533934394,18.144976139068604,0.6572256902444068,50,0.8,25,300,"{'base_estimator__base_estimator__max_depth': 50, 'base_estimator__base_estimator__max_features': 0.8, 'base_estimator__n_estimators': 25, 'n_estimators': 300}",0.11764705882352941,0.06779661016949154,0.22535211267605632,0.07058823529411765,0.058823529411764705,0.10804150927499193,0.06212705277118271,25,0.7806698714190801,0.7900649883590439,0.868099872144895,0.8092600036849069,0.8100977107761027,0.8116384892768057,0.03039865188241933,31
32,247.9575768470764,5.319496802421277,27.443228483200073,1.7442792898063595,50,0.8,25,500,"{'base_estimator__base_estimator__max_depth': 50, 'base_estimator__base_estimator__max_features': 0.8, 'base_estimator__n_estimators': 25, 'n_estimators': 500}",0.1095890410958904,0.07272727272727272,0.23188405797101447,0.04819277108433735,0.06,0.10447862857570298,0.06695200446178964,31,0.7843170918267648,0.7909108420012394,0.8677969839594883,0.8079898274235242,0.8096105527638191,0.8121250595949672,0.029482578420741985,25
33,122.1654655456543,5.412521466692836,15.300856399536134,0.4434059506923467,50,0.8,50,250,"{'base_estimator__base_estimator__max_depth': 50, 'base_estimator__base_estimator__max_features': 0.8, 'base_estimator__n_estimators': 50, 'n_estimators': 250}",0.10810810810810811,0.09836065573770493,0.23188405797101447,0.07792207792207792,0.038834951456310676,0.11102197023904321,0.06493537137875457,19,0.7821368552110726,0.7883537399014008,0.871783383302905,0.810133773288891,0.8122445561139029,0.8129304615636345,0.03169927370997702,19
34,147.061133146286,3.120777905006798,15.991300439834594,1.104349316673307,50,0.8,50,300,"{'base_estimator__base_estimator__max_depth': 50, 'base_estimator__base_estimator__max_features': 0.8, 'base_estimator__n_estimators': 50, 'n_estimators': 300}",0.11764705882352941,0.06779661016949154,0.22535211267605632,0.07058823529411765,0.058823529411764705,0.10804150927499193,0.06212705277118271,25,0.7806698714190801,0.7900649883590439,0.868099872144895,0.8092600036849069,0.8100977107761027,0.8116384892768057,0.03039865188241933,31
35,192.26577734947205,23.58335452115613,12.25855369567871,4.501416127901542,50,0.8,50,500,"{'base_estimator__base_estimator__max_depth': 50, 'base_estimator__base_estimator__max_features': 0.8, 'base_estimator__n_estimators': 50, 'n_estimators': 500}",0.1095890410958904,0.07272727272727272,0.23188405797101447,0.04819277108433735,0.06,0.10447862857570298,0.06695200446178964,31,0.7843170918267648,0.7909108420012394,0.8677969839594883,0.8079898274235242,0.8096105527638191,0.8121250595949672,0.029482578420741985,25
